	S0701	S0702	S0703	S0704	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0717	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU1905	37	15	14	10	13	12	6	7	6	1	8	5	20	13	7	5	6	14	10	8	10	13	16	24	10	4	10	3	11	13	21	21
OTU1906	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1907	0	1	0	0	10	4	13	3	17	8	6	2	5	0	36	8	7	6	0	0	3	0	5	0	1	14	2	5	2	0	0	0
OTU1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU1909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
OTU191	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1910	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1911	0	0	0	0	0	1	0	1	0	0	2	0	5	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
OTU1912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1913	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU1914	0	0	0	1	0	0	0	1	0	2	0	1	2	0	3	3	0	1	0	12	0	0	0	1	1	1	2	0	1	2	2	0
OTU1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU1916	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	11	9	0	14	4	2	5	2	3	1	0	5	2	0	0	0	0
OTU1917	3	1	0	0	0	2	0	0	0	2	3	0	1	2	0	3	0	0	0	0	0	0	1	36	2	8	1	0	1	3	0	2
OTU1919	0	0	0	0	5	6	9	1	9	12	1	13	15	7	3	2	15	0	21	5	3	1	1	0	3	1	0	5	0	2	2	14
OTU192	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
OTU1920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	8	9	0	0	0	1	0	4	0	0	0	0	0	0
OTU1921	38	12	12	6	3	3	3	8	9	1	7	7	2	6	12	5	12	21	9	27	20	13	9	9	12	9	13	20	7	5	19	10
OTU1922	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1923	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
OTU1924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0
OTU1925	0	0	0	0	0	0	0	0	1	0	0	2	1	3	0	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU1926	6	9	10	18	6	10	6	18	11	24	32	36	16	6	6	8	8	6	12	2	8	6	16	0	12	0	7	11	6	2	1	2
OTU1927	2	11	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0
OTU1928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU193	11	19	10	8	2	1	1	2	2	0	0	0	0	0	5	0	3	1	8	2	1	0	2	10	9	4	0	2	0	4	9	6
OTU1930	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1931	6	14	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0
OTU1932	87	68	66	82	87	81	100	95	114	62	109	142	135	147	114	160	72	139	66	65	129	86	73	83	53	57	79	37	62	102	142	118
OTU1933	0	2	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU1934	1	2	9	14	3	9	18	25	26	4	0	2	8	116	17	35	16	17	24	87	38	3	21	0	8	9	0	0	0	94	20	60
OTU1935	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU1936	3	9	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1937	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1939	2	1	1	13	21	32	15	103	93	5	75	12	6	24	45	22	31	32	44	98	20	22	179	41	12	247	295	56	16	29	23	57
OTU194	0	0	0	0	0	1	4	2	4	0	0	0	0	0	0	0	0	1	2	1	3	6	0	0	0	0	0	0	0	0	2	0
OTU1940	0	2	9	38	35	25	41	25	34	7	43	8	0	26	6	2	2	3	0	1	1	1	0	0	0	0	4	0	0	0	1	1
OTU1941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1943	1	1	6	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
