#OTU	S0701	S0702	S0703	S0705	S0706	S0707	S0708	S0709	S0710	S0711	S0712	S0713	S0714	S0715	S0716	S0718	S0719	S0720	S0721	S0722	S0723	S0724	S0725	S0726	S0727	S0728	S0729	S0730	S0731	S0732
OTU149	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU418	1	11	17	4	26	167	875	7	8	904	26	190	3	160	200	25	32	13	1672	15	18	32	33	2	50	38	155	179	10	22
OTU324	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	2	1	1	0	0	2	1
OTU716	5	0	0	1	9	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU760	14	25	23	10	7	14	20	33	28	42	29	31	41	78	20	7	67	28	22	13	9	5	8	20	5	37	25	10	3	1
OTU1458	121	103	93	46	87	100	45	60	94	140	121	104	149	136	48	92	97	122	66	103	86	138	80	145	113	189	221	118	46	129
OTU448	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU904	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	1	0	0	0
OTU794	2	18	22	0	6	49	34	0	0	20	0	4	0	28	26	0	16	20	42	1	4	18	8	0	0	1	2	13	0	2
OTU1116	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	2	0	0
OTU333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0
OTU544	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1077	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU343	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1
OTU1433	0	0	9	0	0	0	0	0	0	0	0	6	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1
OTU1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU1246	67	57	66	15	27	21	32	23	44	24	37	18	14	32	10	15	9	17	9	14	21	39	17	46	46	112	62	33	6	31
OTU1079	0	4	0	0	4	3	1	0	1	3	2	3	1	2	2	2	2	3	9	0	0	6	0	0	2	1	2	1	1	1
OTU1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU158	10	13	14	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1161	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	2	0	0	0	0	0
OTU338	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0
OTU881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU717	0	0	0	0	1	0	0	0	0	2	1	2	0	0	0	1	3	1	0	0	0	0	2	0	0	0	4	0	0	0
OTU843	1	0	3	0	1	0	1	0	0	4	1	1	2	2	5	3	3	5	9	1	12	11	8	6	10	21	20	12	6	6
OTU930	1	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3	3	2	1	2	1
OTU381	0	0	0	0	1	1	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1
OTU1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	1	2	1	1	6	12	15
OTU593	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	6	2
OTU1022	7	0	1	19	30	27	42	21	18	16	24	17	20	15	13	19	23	10	4	15	13	25	15	5	5	11	9	12	32	5
OTU256	3	0	3	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0
OTU394	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1
OTU798	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	61	0	0	0	0	0	0	1	0	0	0
OTU712	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU193	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU367	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OTU1270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU139	3	44	36	4	40	30	11	8	13	149	43	22	4	29	65	23	27	43	50	3	26	64	30	2	65	16	91	53	6	30
OTU97	244	92	146	98	68	107	108	112	153	93	171	116	119	99	133	88	262	76	80	88	90	103	71	177	100	270	230	377	222	220
OTU24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
OTU607	0	0	0	0	0	0	0	0	0	1	0	1	0	7	7	3	0	0	2	0	0	2	1	0	0	0	0	0	0	0
OTU711	0	0	0	0	1	0	2	0	0	2	0	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU1426	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	35	0
OTU410	0	0	0	2	5	2	5	3	11	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU878	2	1	0	1	4	0	2	1	3	0	0	1	1	0	0	0	0	0	0	65	1	1	0	0	1	3	0	0	2	0
OTU447	0	0	0	7	3	2	5	7	2	3	2	5	9	2	4	2	1	1	1	1	0	2	0	4	2	0	0	1	1	2
OTU912	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU837	0	0	0	3	3	2	9	0	4	2	1	1	2	1	2	1	2	3	4	9	0	0	1	0	2	0	3	4	2	2
OTU1292	27	17	16	18	57	57	24	37	46	98	47	50	132	75	34	59	80	89	37	70	86	57	61	44	55	31	30	35	74	42
OTU989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	7	7	2	1	4	13
OTU438	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1288	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1
OTU1102	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	3	0	1	0	2	1	0
OTU1236	2	1	6	0	0	0	5	1	0	1	0	0	0	0	1	0	1	0	0	0	0	5	3	1	0	0	2	12	2	0
OTU1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1
OTU1104	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1099	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU886	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
OTU606	9	14	8	5	3	6	7	10	8	5	15	3	13	20	4	5	10	7	6	8	7	7	3	14	2	6	5	4	10	4
OTU141	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OTU1007	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU1211	0	0	0	1	3	1	1	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	3	4	1
OTU1016	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	5	0	1	0	1	3	1
OTU859	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	2	0	14	0	0	0	0	1	0	0	0	0	0
OTU1018	2	0	14	0	1	2	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	11	0	7	3	18	6	4
OTU852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU439	27	32	36	39	35	36	25	47	37	23	45	32	33	52	13	24	45	24	24	11	23	20	24	21	10	16	15	25	54	25
OTU685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU228	5	19	12	13	22	37	14	30	12	24	19	12	27	32	16	37	20	17	20	18	5	9	3	3	4	8	7	7	50	4
