group	mean
D	0.762245614
D	0.759192982
D	0.757754386
D	0.755929825
D	0.754350877
D	0.752789474
D	0.750824561
D	0.748105263
D	0.747438596
D	0.744368421
D	0.74222807
D	0.741140351
D	0.739912281
D	0.737789474
D	0.736666667
D	0.734280702
D	0.733561404
D	0.73
D	0.728894737
D	0.726701754
D	0.724842105
D	0.723789474
D	0.721701754
D	0.719824561
D	0.718614035
D	0.716333333
D	0.714140351
D	0.712894737
D	0.711438596
D	0.708649123
D	0.707175439
D	0.706263158
D	0.703017544
D	0.702017544
D	0.700070175
D	0.698210526
D	0.695736842
D	0.694508772
D	0.692929825
D	0.691175439
D	0.690368421
D	0.686859649
D	0.68577193
D	0.685175439
D	0.681912281
D	0.680982456
D	0.67945614
D	0.677368421
D	0.67545614
D	0.674192982
D	0.672631579
D	0.670754386
D	0.668754386
D	0.667894737
D	0.665947368
D	0.663350877
D	0.661385965
D	0.659701754
D	0.657912281
D	0.655842105
D	0.653491228
D	0.652824561
D	0.651929825
D	0.648947368
D	0.648035088
D	0.645789474
D	0.644210526
D	0.64254386
D	0.641701754
D	0.63822807
D	0.636719298
D	0.635982456
D	0.63422807
D	0.633070175
D	0.630631579
D	0.627947368
D	0.626596491
D	0.625491228
D	0.624333333
D	0.622421053
D	0.620070175
D	0.618877193
D	0.616789474
D	0.614701754
D	0.612947368
D	0.611263158
D	0.610403509
D	0.608192982
D	0.605649123
D	0.605052632
D	0.602333333
D	0.601508772
D	0.599736842
D	0.598245614
D	0.595894737
D	0.593877193
D	0.592561404
D	0.591017544
D	0.589122807
D	0.587859649
D	0.585824561
D	0.584070175
D	0.582877193
D	0.580947368
D	0.579438596
D	0.577561404
D	0.576526316
D	0.573947368
D	0.57254386
D	0.571245614
D	0.569140351
D	0.567982456
D	0.566631579
D	0.564701754
D	0.562526316
D	0.560824561
D	0.558701754
D	0.557912281
D	0.556245614
D	0.555140351
D	0.552385965
D	0.551105263
D	0.550017544
D	0.547614035
D	0.546087719
D	0.544614035
D	0.542964912
D	0.541280702
D	0.539877193
D	0.537491228
D	0.536122807
D	0.534596491
D	0.532859649
D	0.531140351
D	0.529789474
D	0.528070175
