	Name	within_module_connectivities	among_module_connectivities	modularity	type
171	EOTU690	-1.111826761	0.75	10	Connectors
172	EOTU692	-1.00384402	1	3	Connectors
173	EOTU698	-0.774605568	0.6875	2	Connectors
174	EOTU702	-0.945846265	1	2	Connectors
175	EOTU717	-0.577350269	1	13	Connectors
176	EOTU739	0.508331528	0.632271468	4	Connectors
177	EOTU756	-0.277528058	0.6875	1	Connectors
178	EOTU77	-1.149271281	0.75	4	Connectors
179	EOTU777	-0.741549762	1	8	Connectors
180	EOTU785	-0.218883283	0.668639053	3	Connectors
181	EOTU787	-0.816496581	1	9	Connectors
182	EOTU791	0.883550627	0.632653061	6	Connectors
183	EOTU793	1.380198737	0.67	10	Connectors
184	EOTU80	-1.00384402	1	3	Connectors
185	EOTU801	-0.603364871	0.638888889	2	Connectors
186	EOTU802	-0.9096753	1	1	Connectors
187	EOTU803	-1.149271281	0.777777778	4	Connectors
188	EOTU809	-0.670820393	1	11	Connectors
189	EOTU810	-0.983511	0.694444444	4	Connectors
190	EOTU826	-0.277537434	0.75	7	Connectors
191	EOTU830	-0.277537434	0.8125	7	Connectors
192	EOTU848	-0.277528058	0.8125	1	Connectors
193	EOTU85	-0.9096753	1	1	Connectors
194	EOTU886	1.318732279	0.62962963	6	Connectors
195	EOTU894	0.354619185	0.805555556	1	Connectors
196	EOTU898	-1.00384402	1	3	Connectors
197	EOTU907	-1.202662212	0.777777778	7	Connectors
198	EOTU916	-0.603364871	0.734375	2	Connectors
199	EOTU918	-1.045416747	0.75	5	Connectors
200	EOTU922	-1.232151421	1	4	Connectors
201	EOTU924	-1.045416747	1	5	Connectors
202	EOTU937	-0.741549762	1	8	Connectors
203	EOTU969	-0.945846265	1	2	Connectors
204	EOTU981	-0.603364871	0.6875	2	Connectors
205	EOTU998	-1.00384402	1	3	Connectors
206	EOTU999	-0.945846265	1	2	Connectors
207	POTU1008	0.883550627	0.73	6	Connectors
208	POTU1009	-0.415123467	0.755102041	3	Connectors
209	POTU1042	-0.774605568	0.75	2	Connectors
210	POTU1046	-0.418166699	0.75	5	Connectors
211	POTU1051	3.335171156	0.323621228	2	Module hubs
212	POTU1060	-0.5	1	12	Connectors
213	POTU1062	-0.32241294	0.75	8	Connectors
214	POTU1067	-0.432124175	0.694444444	2	Connectors
215	POTU108	0.986766428	0.638888889	1	Connectors
216	POTU1105	0.766560703	0.6704	2	Connectors
217	POTU1153	-0.418166699	0.75	5	Connectors
218	POTU1189	-0.611363651	0.76	3	Connectors
219	POTU1191	-1.00384402	0.75	3	Connectors
220	POTU1234	-0.9096753	1	1	Connectors
221	POTU1248	0.42407931	0.621399177	2	Connectors
222	POTU1268	-0.774605568	0.8125	2	Connectors
223	POTU1279	-0.945846265	1	2	Connectors
224	POTU1360	-1.232151421	1	4	Connectors
225	POTU1398	-0.421994329	0.632653061	6	Connectors
226	POTU1419	-1.045416747	0.75	5	Connectors
227	POTU1420	-0.774605568	0.75	2	Connectors
228	POTU1424	1.154798008	0.660770031	3	Connectors
229	POTU1450	-0.277537434	0.75	7	Connectors
230	POTU1451	0.354619185	0.6875	1	Connectors
231	POTU1455	-1.232151421	1	4	Connectors
232	POTU1463	0.081597916	0.697777778	2	Connectors
233	POTU18	-0.945846265	0.75	2	Connectors
234	POTU219	-0.9096753	1	1	Connectors
235	POTU232	1.109042097	0.623582766	2	Connectors
236	POTU274	-0.577350269	1	14	Connectors
237	POTU334	-1.149271281	0.75	4	Connectors
238	POTU366	1.5	0.795918367	12	Connectors
239	POTU410	-0.415123467	0.638888889	3	Connectors
240	POTU415	-0.857175981	0.75	6	Connectors
241	POTU423	0.766560703	0.667355372	2	Connectors
242	POTU427	-0.774605568	0.75	2	Connectors
243	POTU435	1.565247584	0.6875	11	Connectors
244	POTU439	-0.945846265	1	2	Connectors
245	POTU454	-0.611363651	0.76	3	Connectors
246	POTU456	-0.9096753	0.777777778	1	Connectors
247	POTU457	-1.149271281	0.777777778	4	Connectors
248	POTU462	-0.421994329	0.714285714	6	Connectors
249	POTU469	-0.774605568	0.75	2	Connectors
250	POTU492	-0.603364871	0.734375	2	Connectors
251	POTU500	-1.00384402	0.6875	3	Connectors
252	POTU502	-1.111826761	1	10	Connectors
253	POTU514	-1.232151421	1	4	Connectors
254	POTU548	-0.277528058	0.777777778	1	Connectors
255	POTU551	-0.611363651	0.6875	3	Connectors
